Body,City,Lat,Dec_at_Transit,Elev_Obs,Elev_Flat,Elev_Err,Az_Obs,Az_Flat,Az_Err
Mars,"Reykjavik, Iceland",64.1466,-12.083,13.9,13.77,0.13,180.09,180.0,0.09
Mars,"London, UK",51.5074,-12.1,26.52,26.39,0.13,180.03,180.0,0.03
Mars,"New York City, USA",40.7128,-12.042,37.37,37.25,0.13,180.08,180.0,0.08
Mars,"Chicago, USA",41.8781,-12.031,36.22,36.09,0.13,180.08,180.0,0.08
Mars,"Los Angeles, USA",34.0522,-12.007,44.07,43.94,0.13,180.03,180.0,0.03
Mars,"Tokyo, Japan",35.6762,-11.928,42.53,42.4,0.13,180.08,180.0,0.08
Mars,"Dubai, UAE",25.2048,-12.143,52.78,52.65,0.13,180.05,180.0,0.05
Mars,Singapore,1.3521,-11.9,76.88,76.75,0.13,179.89,180.0,-0.11
Mars,"Paris, France",48.8566,-12.101,29.17,29.04,0.13,180.1,180.0,0.1
Mars,"Berlin, Germany",52.52,-12.11,25.5,25.37,0.13,180.11,180.0,0.11
Mars,"Moscow, Russia",55.7558,-12.129,22.24,22.12,0.13,180.07,180.0,0.07
Mars,"Beijing, China",39.9042,-11.909,38.32,38.19,0.13,180.11,180.0,0.11
Mars,"Mumbai, India",19.076,-12.156,58.9,58.77,0.13,180.06,180.0,0.06
Mars,"Cairo, Egypt",30.0444,-12.124,47.96,47.83,0.13,180.0,180.0,0.0
Mars,"Toronto, Canada",43.6532,-12.038,34.44,34.31,0.13,180.02,180.0,0.02
Mars,"Mexico City, Mexico",19.4326,-12.022,58.67,58.55,0.13,180.02,180.0,0.02
Mars,"Stockholm, Sweden",59.3293,-12.114,18.69,18.56,0.13,180.05,180.0,0.05
Mars,"Helsinki, Finland",60.1699,-12.119,17.84,17.71,0.13,180.07,180.0,0.07
Mars,"Accra, Ghana",5.6037,-12.1,72.43,72.3,0.13,180.17,180.0,0.17
Mars,"Nairobi, Kenya",-1.2921,-12.128,79.29,79.16,0.13,180.03,180.0,0.03
Mars,"Quito, Ecuador",-0.1807,-12.039,78.27,78.14,0.13,179.96,180.0,-0.04
Mars,"Sydney, Australia",-33.8688,-12.217,68.22,68.35,-0.13,0.06,0.0,0.06
Mars,"Perth, Australia",-31.9505,-12.19,70.11,70.24,-0.13,359.99,0.0,-0.01
Mars,"Cape Town, South Africa",-33.9249,-12.114,68.06,68.19,-0.13,0.02,0.0,0.02
Mars,"Johannesburg, South Africa",-26.2041,-12.122,75.79,75.92,-0.13,0.11,0.0,0.11
Mars,"Santiago, Chile",-33.4489,-12.045,68.47,68.6,-0.13,0.13,0.0,0.13
Mars,"Buenos Aires, Argentina",-34.6037,-12.054,67.32,67.45,-0.13,359.97,0.0,-0.03
Mars,"Auckland, New Zealand",-36.8485,-12.236,65.26,65.39,-0.13,0.05,0.0,0.05
Mars,"Lima, Peru",-12.0464,-12.04,89.86,89.99,-0.13,7.81,0.0,7.81
Mars,"São Paulo, Brazil",-23.5505,-12.063,78.38,78.51,-0.13,359.89,0.0,-0.11
Mars,"Chapel Hill, NC, USA",35.9132,-12.038,42.18,42.05,0.13,180.03,180.0,0.03
Venus,"Reykjavik, Iceland",64.1466,-2.248,23.75,23.6,0.14,180.15,180.0,0.15
Venus,"London, UK",51.5074,-2.28,36.36,36.21,0.14,180.18,180.0,0.18
Venus,"New York City, USA",40.7128,-2.174,47.26,47.11,0.15,180.08,180.0,0.08
Venus,"Chicago, USA",41.8781,-2.155,46.11,45.97,0.15,180.06,180.0,0.06
Venus,"Los Angeles, USA",34.0522,-2.111,53.98,53.84,0.15,180.08,180.0,0.08
Venus,"Tokyo, Japan",35.6762,-1.966,52.5,52.36,0.15,180.1,180.0,0.1
Venus,"Dubai, UAE",25.2048,-2.358,62.58,62.44,0.15,180.16,180.0,0.16
Venus,Singapore,1.3521,-2.428,86.37,86.22,0.15,180.07,180.0,0.07
Venus,"Paris, France",48.8566,-2.283,39.01,38.86,0.15,180.1,180.0,0.1
Venus,"Berlin, Germany",52.52,-2.299,35.33,35.18,0.14,180.18,180.0,0.18
Venus,"Moscow, Russia",55.7558,-2.333,32.06,31.91,0.15,180.11,180.0,0.11
Venus,"Beijing, China",39.9042,-1.933,48.31,48.16,0.15,180.09,180.0,0.09
Venus,"Mumbai, India",19.076,-2.384,68.69,68.54,0.15,180.15,180.0,0.15
Venus,"Cairo, Egypt",30.0444,-2.324,57.78,57.63,0.15,180.04,180.0,0.04
Venus,"Toronto, Canada",43.6532,-2.167,44.33,44.18,0.15,180.12,180.0,0.12
Venus,"Mexico City, Mexico",19.4326,-2.139,68.57,68.43,0.15,180.15,180.0,0.15
Venus,"Stockholm, Sweden",59.3293,-2.305,28.51,28.37,0.14,180.16,180.0,0.16
Venus,"Helsinki, Finland",60.1699,-2.315,27.66,27.51,0.14,180.18,180.0,0.18
Venus,"Accra, Ghana",5.6037,-2.28,82.26,82.12,0.15,180.31,180.0,0.31
Venus,"Nairobi, Kenya",-1.2921,-2.332,89.11,88.96,0.15,182.07,180.0,2.07
Venus,"Quito, Ecuador",-0.1807,-2.168,88.16,88.01,0.15,179.33,180.0,-0.67
Venus,"Sydney, Australia",-33.8688,-2.495,58.48,58.63,-0.15,0.07,0.0,0.07
Venus,"Perth, Australia",-31.9505,-2.445,60.35,60.49,-0.15,0.1,0.0,0.1
Venus,"Cape Town, South Africa",-33.9249,-2.306,58.23,58.38,-0.15,0.16,0.0,0.16
Venus,"Johannesburg, South Africa",-26.2041,-2.32,65.97,66.12,-0.15,0.03,0.0,0.03
Venus,"Santiago, Chile",-33.4489,-2.687,58.93,59.24,-0.31,353.37,0.0,-6.63
Venus,"Buenos Aires, Argentina",-34.6037,-2.197,57.45,57.59,-0.15,0.12,0.0,0.12
Venus,"Auckland, New Zealand",-36.8485,-2.529,55.53,55.68,-0.15,0.17,0.0,0.17
Venus,"Lima, Peru",-12.0464,-2.682,80.49,80.64,-0.15,0.11,0.0,0.11
Venus,"São Paulo, Brazil",-23.5505,-2.214,68.52,68.66,-0.15,0.11,0.0,0.11
Venus,"Chapel Hill, NC, USA",35.9132,-2.167,52.06,51.92,0.15,180.14,180.0,0.14
